cluster_id	n_iv	n_ld	frac_ld	has_fastltr	candidate	G1	G2	G4	has_ld
1168	588	19	0.03231292517006803	True	True	True	True	True	False
1169	435	12	0.027586206896551724	True	True	True	True	True	False
1171	400	0	0.0	True	True	True	True	True	False
1172	1065	2	0.0018779342723004694	True	True	True	True	True	False
1173	616	133	0.2159090909090909	True	True	True	True	True	True
1176	199	0	0.0	True	True	True	True	True	False
1177	296	0	0.0	True	True	True	True	True	False
1178	560	5	0.008928571428571428	True	True	True	True	True	False
1180	202	9	0.04455445544554455	True	True	True	True	True	False
1183	1177	14	0.0118946474086661	True	True	True	True	True	False
1184	741	1	0.001349527665317139	True	True	True	True	True	False
1185	844	0	0.0	False	True	True	True	True	False
1186	523	0	0.0	True	True	True	True	True	False
1188	332	50	0.15060240963855423	True	True	True	True	True	True
1190	843	134	0.15895610913404506	True	False	True	True	True	True
1191	351	8	0.022792022792022793	True	True	True	True	True	False
1192	47232	94	0.0019901761517615176	False	True	True	True	True	False
1196	433	195	0.4503464203233256	True	True	True	True	True	True
1197	18618	11	0.0005908260822859599	False	False	True	True	True	False
1198	1358	169	0.12444771723122239	True	True	True	True	True	True
1199	618	0	0.0	True	True	True	True	True	False
1200	20748	10	0.0004819741661846925	False	True	True	True	True	False
1201	720	4	0.005555555555555556	True	True	True	True	True	False
1203	1137	353	0.31046613896218117	True	True	True	True	True	True
1204	1218	6	0.0049261083743842365	True	False	True	True	True	False
1205	1113	130	0.11680143755615453	True	True	True	True	True	True
